Text,Address,Street_Number,Street_Name,Street_Address,City,Zip_Code,State,Country,Noise
"Asian Culture Center, 7318 N Yarmouth St,WILMINGTON,DE,19801,US","7318 N Yarmouth St,WILMINGTON,DE,19801,US",7318,N Yarmouth St,7318 N Yarmouth St,Wilmington,19801.0,DE,US,"asian culture center,"
"Suite 920, One World Center, 6399 Empress Drive,BETHESDA,MD,20817,US","6399 Empress Drive,BETHESDA,MD,20817,US",6399,Empress Drive,6399 Empress Drive,Bethesda,20817.0,MD,US,"suite 920, one world center,"
"Four Saints Recreation Center, 527 Mikes St,NEW YORK,NY,10285,US","527 Mikes St,NEW YORK,NY,10285,US",527,Mikes St,527 Mikes St,New York,10285.0,NY,US,"four saints recreation center,"
"ONE WORLD CENTER, 26TH FLOOR,C/O JUAN LEONS PRIVATE EQ, INC.,SAN FRANCISCO,CA,94111,US","C/O JUAN LEONS PRIVATE EQ, INC.,SAN FRANCISCO,CA,94111,US",,,C/O JUAN LEONS PRIVATE EQ, San Francisco,94111.0,CA,US,"one world center, 26th floor,"
"DE HEALTH Center, Research Building, 1733 Acero Highway, Wilmington, DE 19805, US","1733 Acero Highway, Wilmington, DE 19805, US",1733,Acero Highway,1733 Acero Highway,Wilmington,19805.0,DE,US,"de health center, research building,"
"371 BERGENFIELD CENTER, 413 HAYNES STREET,HOUSTON,TX,77002,US","413 HAYNES STREET,HOUSTON,TX,77002,US",413,HAYNES STREET,413 HAYNES STREET,Houston,77002.0,TX,US,"371 bergenfield center,"
"5125 Plymouth Blvd Ste 315,PLYMOUTH,MN,55447,US","5125 Plymouth Blvd Ste 315,PLYMOUTH,MN,55447,US",5125,Plymouth Blvd,5125 Plymouth Blvd, Plymouth,55447.0,MN,US,
"PO Box 726, 399 N Virginia Blvd,READING,PA,19610,US","399 N Virginia Blvd, READING, PA, 19610, US",399,N Virginia Blvd,399 N Virginia Blvd,READING,19610.0,PA,US,"po box 726, 399 n virginia blvd,reading,pa,19610,"
"SUITE 87, 3312 JEFFERSON BLVD,HOUSTON,TX,77024,US","3312 JEFFERSON BLVD, HOUSTON, TX, 77024, US",3312,JEFFERSON BLVD,3312 JEFFERSON BLVD,HOUSTON,77024.0,TX,US,"suite 87, 3312 jefferson blvd,hoton,tx,77024,"
"3991 Prairie Moon Blvd, Suite 419,TWINSBURG,OH,44087,US","3991 Prairie Moon Blvd, Suite 419, TWINSBURG, OH, 44087, US",3991,Prairie Moon Blvd,3991 Prairie Moon Blvd,TWINSBURG,44087.0,OH,US,"3991 prairie moon blvd, suite 419,twinsburg,oh,44087,"
"13164 Aston Blvd Fl 2,DALLAS,TX,75254,US","13164 Aston Blvd Fl 2, DALLAS, TX, 75254, US",13164,Aston Blvd,13164 Aston Blvd,DALLAS,75254.0,TX,US,"13164 aston blvd fl 2,dallas,tx,75254,"
"2818 Railroad Blvd Ste 211,BOULDER,CO,80301,US","2818 Railroad Blvd Ste 211, BOULDER, CO, 80301, US",2818,Railroad Blvd,2818 Railroad Blvd,BOULDER,80301.0,CO,US,"2818 railroad blvd ste 211,boulder,co,80301,"
"901 Shane M Connor Blvd Ste 52,TEANECK,NJ,07666,US","901 Shane M Connor Blvd Ste 52, TEANECK, NJ, 07666, US",901,Shane M Connor Blvd,901 Shane M Connor Blvd,TEANECK,7666.0,NJ,US,"901 shane m connor blvd ste 52,teaneck,nj,07666,"
"6428 E Sidney Blvd,SARASOTA,FL,34243,US","6428 E Sidney Blvd, SARASOTA, FL, 34243, US",6428,E Sidney Blvd,6428 E Sidney Blvd,SARASOTA,34243.0,FL,US,"6428 e sidney blvd,sarasota,fl,34243,"
"524 W Arbor Blvd,FORT LAUDERDALE,FL,33394,US","524 W Arbor Blvd, FORT LAUDERDALE, FL, 33394, US",524,W Arbor Blvd,524 W Arbor Blvd,FORT LAUDERDALE,33394.0,FL,US,"524 w arbor blvd,fort lauderdale,fl,33394,"
"2315 Wendover Blvd Ste 1785,IRVING,TX,75039,US","2315 Wendover Blvd Ste 1785, IRVING, TX, 75039, US",2315,Wendover Blvd,2315 Wendover Blvd,IRVING,75039.0,TX,US,"2315 wendover blvd ste 1785,irving,tx,75039,"
"9028 Birchwood Street - 5210,HOUSTON,TX,77002,US","9028 Birchwood Street - 5210, HOUSTON, TX, 77002, US",9028,Birchwood Street,9028 Birchwood Street,HOUSTON,77002.0,TX,US,"9028 birchwood street - 5210,hoton,tx,77002,"
"6252 Sunset St,BEAUMONT,TX,77707,US","6252 Sunset St, BEAUMONT, TX, 77707, US",6252,Sunset St,6252 Sunset St,BEAUMONT,77707.0,TX,US,"6252 sunset st,beaumont,tx,77707,"
"14Th Floor, 21 West 5th St,,,10010,US","21 West 5th St, 14Th Floor, 10010, US",21,West 5th St,21 West 5th St, ,10010.0, ,US,"14th floor, 21 west 5th st,,,10010,"
"763 Clark St,BRAINERD,MN,56401,US","763 Clark St, BRAINERD, MN, 56401, US",763,Clark St,763 Clark St,BRAINERD,56401.0,MN,US,"763 clark st,brainerd,mn,56401,"
"146 Lakeview St,BOSTON,MA,02199,US","146 Lakeview St, BOSTON, MA, 02199, US",146,Lakeview St,146 Lakeview St,BOSTON,2199.0,MA,US,"146 lakeview st,boston,ma,02199,"
"383 Walker St,DENVER,CO,80206,US","383 Walker St, DENVER, CO, 80206, US",383,Walker St,383 Walker St,DENVER,80206.0,CO,US,"383 walker st,denver,co,80206,"
"53 C Nn Hwy S Fl 4,DARIEN,CT,06820,US","53 C Nn Hwy S Fl 4, DARIEN, CT, 06820, US",53 C,Nn Hwy S,53 C Nn Hwy S,DARIEN,6820.0,CT,US,"53 c nn hwy s fl 4,darien,ct,06820,"
"492 Northwestern Hwy., Ste. 488,FARMINGTON HILLS,MI,48334,US","492 Northwestern Hwy., Ste. 488, FARMINGTON HILLS, MI, 48334, US",492,Northwestern Hwy.,492 Northwestern Hwy.,FARMINGTON HILLS,48334.0,MI,US,"492 northwestern hwy., ste. 488,farmington hills,mi,48334,"
"4553 N Capital of Texas Hwy Ste 926,AUSTIN,TX,78746,US","4553 N Capital of Texas Hwy Ste 926, AUSTIN, TX, 78746, US",4553,N Capital of Texas Hwy,4553 N Capital of Texas Hwy,AUSTIN,78746.0,TX,US,"4553 n capital of texas hwy ste 926,atin,tx,78746,"
"14130 Devon Hwy,SANTA FE SPRINGS,CA,90670,US","14130 Devon Hwy, SANTA FE SPRINGS, CA, 90670, US",14130,Devon Hwy,14130 Devon Hwy,SANTA FE SPRINGS,90670.0,CA,US,"14130 devon hwy,santa fe springs,ca,90670,"
"506 S Murdock Hwy # 301,DEERFIELD BEACH,FL,33441,US","506 S Murdock Hwy # 301, DEERFIELD BEACH, FL, 33441, US",506,S Murdock Hwy,506 S Murdock Hwy,DEERFIELD BEACH,33441.0,FL,US,"506 s murdock hwy # 301,deerfield beach,fl,33441,"
"1719 W Federal Hwy Ste 633,BOCA RATON,FL,33432,US","1719 W Federal Hwy Ste 633,BOCA RATON,FL,33432,US",1719,W Federal Hwy,1719 W Federal Hwy Ste 633,BOCA RATON,33432.0,FL,US,
"31102 N Capital of Texas Hwy Ste 3104,WEST LAKE HILLS,TX,78746,US","31102 N Capital of Texas Hwy Ste 3104,WEST LAKE HILLS,TX,78746,US",31102,N Capital of Texas Hwy,31102 N Capital of Texas Hwy Ste 3104,WEST LAKE HILLS,78746.0,TX,US,
"#12, 72 W.Johnston Hwy,ST AUGUSTINE,FL,32084,US","#12, 72 W.Johnston Hwy,ST AUGUSTINE,FL,32084,US",72,W Johnston Hwy,72 W Johnston Hwy,ST AUGUSTINE,32084.0,FL,US,
"3262 SW Tucker Way # C453,PORTLAND,OR,97230,US","3262 SW Tucker Way # C453,PORTLAND,OR,97230,US",3262,SW Tucker Way,3262 SW Tucker Way # C453,PORTLAND,97230.0,OR,US,
"7284 VOLLMER PARKWAY, SUITE 64,FOOTHILL RANCH,CA,92610,US","7284 VOLLMER PARKWAY, SUITE 64,FOOTHILL RANCH,CA,92610,US",7284,VOLLMER PARKWAY,"7284 VOLLMER PARKWAY, SUITE 64",FOOTHILL RANCH,92610.0,CA,US,
"913 Old Evadale Way,BELMONT,CA,94002,US","913 Old Evadale Way,BELMONT,CA,94002,US",913,Old Evadale Way,913 Old Evadale Way,BELMONT,94002.0,CA,US,
"6337 NEW FORREST WAY,FREDERICK,MD,21703,US","6337 NEW FORREST WAY,FREDERICK,MD,21703,US",6337,NEW FORREST WAY,6337 NEW FORREST WAY,FREDERICK,21703.0,MD,US,
"7385 Hartman Way,VISTA,CA,92081,US","7385 Hartman Way,VISTA,CA,92081,US",7385,Hartman Way,7385 Hartman Way,VISTA,92081.0,CA,US,
"52275 Woodson Way, Ste. 624,SUN VALLEY,CA,91352,US","52275 Woodson Way, Ste. 624,SUN VALLEY,CA,91352,US",52275,Woodson Way,"52275 Woodson Way, Ste. 624",SUN VALLEY,91352.0,CA,US,
"388 BROADWAY 1ST FL,NEW YORK,NY,10038,US","388 BROADWAY 1ST FL,NEW YORK,NY,10038,US",388,BROADWAY,388 BROADWAY 1ST FL,NEW YORK,10038.0,NY,US,
"668 W. Heaton Parkway Unit #H148,OREM,UT,84097,US","668 W. Heaton Parkway Unit #H148,OREM,UT,84097,US",668,W. Heaton Parkway,668 W. Heaton Parkway Unit #H148,OREM,84097.0,UT,US,
"21664 Saint Peters Road, Suite,SOLON,OH,44139,US","21664 Saint Peters Road, Suite,SOLON,OH,44139,US",21664,Saint Peters Road,21664 Saint Peters Road,SOLON,44139.0,OH,US,
"48817 Hallman Road, Geauga County,CHAGRIN FALLS,OH,44023,US","48817 Hallman Road, Geauga County,CHAGRIN FALLS,OH,44023,US",48817,Hallman Road,48817 Hallman Road,CHAGRIN FALLS,44023.0,OH,US,
"18232 Somerville Road,CORAL SPRINGS,FL,33076,US","18232 Somerville Road,CORAL SPRINGS,FL,33076,US",18232,Somerville Road,18232 Somerville Road,CORAL SPRINGS,33076.0,FL,US,
"2811 Brevard Road,DOWNERS GROVE,IL,60515,US","2811 Brevard Road,DOWNERS GROVE,IL,60515,US",2811,Brevard Road,2811 Brevard Road,DOWNERS GROVE,60515.0,IL,US,
"4750 Lonnie Road, Suite 542,HOUSTON,TX,77057,US","4750 Lonnie Road, Suite 542,HOUSTON,TX,77057,US",4750,Lonnie Road,4750 Lonnie Road, HOUSTON,77057.0,TX,US,
"2213 Carter Road, Suite 260,SANTA CLARA,CA,95051,US","2213 Carter Road, Suite 260,SANTA CLARA,CA,95051,US",2213,Carter Road,2213 Carter Road, SANTA CLARA,95051.0,CA,US,
"705 Coleman Road,OAK BROOK,IL,60523,US","705 Coleman Road,OAK BROOK,IL,60523,US",705,Coleman Road,705 Coleman Road,OAK BROOK,60523.0,IL,US,
"434 GRANT ROAD WEST, SUITE 140,LARGO,FL,33773,US","434 GRANT ROAD WEST, SUITE 140,LARGO,FL,33773,US",434,GRANT ROAD WEST,434 GRANT ROAD WEST,LARGO,33773.0,FL,US,
"2515 Hancock Point Ct # J,WINTER PARK,FL,32792,US","2515 Hancock Point Ct # J,WINTER PARK,FL,32792,US",2515,Hancock Point Ct,2515 Hancock Point Ct # J,WINTER PARK,32792.0,FL,US,
"6662 Laurel View Ct Ste 142,OXNARD,CA,93036,US","6662 Laurel View Ct Ste 142, OXNARD, CA, 93036, US",6662,Laurel View Ct,6662 Laurel View Ct,OXNARD,93036.0,CA,US,"6662 laurel view ct ste 142,oxnard,ca,93036,"
"1092 Redfish Ct W Ste 447,ROSWELL,GA,30076,US","1092 Redfish Ct W Ste 447, ROSWELL, GA, 30076, US",1092,Redfish Ct W,1092 Redfish Ct W,ROSWELL,30076.0,GA,US,"1092 redfish ct w ste 447,roswell,ga,30076,"
"5078 SW 23rd Ct Ste 255,OPA LOCKA,FL,33054,US","5078 SW 23rd Ct Ste 255, OPA LOCKA, FL, 33054, US",5078,SW 23rd Ct,5078 SW 23rd Ct,OPA LOCKA,33054.0,FL,US,"5078 sw 23rd ct ste 255,opa locka,fl,33054,"
"63 Hillcrest Ct E Ste 625,ROSWELL,GA,30076,US","63 Hillcrest Ct E Ste 625, ROSWELL, GA, 30076, US",63,Hillcrest Ct E,63 Hillcrest Ct E,ROSWELL,30076.0,GA,US,"63 hillcrest ct e ste 625,roswell,ga,30076,"
"969 Forestdale Dr Ste 377,SPRING,TX,77379,US","969 Forestdale Dr Ste 377, SPRING, TX, 77379, US",969,Forestdale Dr,969 Forestdale Dr,SPRING,77379.0,TX,US,"969 forestdale dr ste 377,spring,tx,77379,"
"2068 W Fairground Dr Ste 500,KANSAS CITY,MO,64163,US","2068 W Fairground Dr Ste 500, KANSAS CITY, MO, 64163, US",2068,W Fairground Dr,2068 W Fairground Dr,KANSAS CITY,64163.0,MO,US,"2068 w fairground dr ste 500,kansas city,mo,64163,"
"11401 Bent Oak Dr Ste 100,SAN DIEGO,CA,92130,US","11401 Bent Oak Dr Ste 100, SAN DIEGO, CA, 92130, US",11401,Bent Oak Dr,11401 Bent Oak Dr,SAN DIEGO,92130.0,CA,US,"11401 bent oak dr ste 100,san diego,ca,92130,"
"2068 Burns Dr Ste B,LAS VEGAS,NV,89119,,US","2068 Burns Dr Ste B, LAS VEGAS, NV, 89119, US",2068,Burns Dr,2068 Burns Dr,LAS VEGAS,89119.0,NV,US,"2068 burns dr ste b,las vegas,nv,89119,,"
"3602 Fox Ridge Dr. Suite 833, The Woodlands,,TX,77380,US","3602 Fox Ridge Dr. Suite 833, The Woodlands, TX, 77380, US",3602,Fox Ridge Dr,3602 Fox Ridge Dr,The Woodlands,77380.0,TX,US,"3602 fox ridge dr. suite 833, the woodlands,,tx,77380,"
"59 Nickel Dr,ORCHARD PARK,NY,14127,US","59 Nickel Dr, ORCHARD PARK, NY, 14127, US",59,Nickel Dr,59 Nickel Dr,ORCHARD PARK,14127.0,NY,US,"59 nickel dr,orchard park,ny,14127,"
"41443 Lewis Dr,BAKERSFIELD,CA,93311,US","41443 Lewis Dr,BAKERSFIELD,CA,93311,US",41443,Lewis Dr,41443 Lewis Dr,BAKERSFIELD,93311.0,CA,US,
"3128 New Mcneil Dr,RESTON,VA,20191,US","3128 New Mcneil Dr,RESTON,VA,20191,US",3128,New Mcneil Dr,3128 New Mcneil Dr,RESTON,20191.0,VA,US,
"2502 NW 53rd St Bldg C Ste 347,BELLEVUE,WA,98007,US","2502 NW 53rd St Bldg C Ste 347,BELLEVUE,WA,98007,US",2502,NW 53rd St,2502 NW 53rd St Bldg C Ste 347,BELLEVUE,98007.0,WA,US,
"Robert Koch Bldg 4223 4th Ave,DETROIT,MI,48202,US","Robert Koch Bldg 4223 4th Ave,DETROIT,MI,48202,US",4223,4th Ave,Robert Koch Bldg 4223 4th Ave,DETROIT,48202.0,MI,US,
"429 Larson Bldg,PORTLAND,OR,,US","429 Larson Bldg,PORTLAND,OR,,US",429,Larson Bldg,429 Larson Bldg,PORTLAND,,OR,US,
"202 Sleepy Hollow Pkwy Bldg 2101 Ste 201,ATHENS,GA,30606,US","202 Sleepy Hollow Pkwy Bldg 2101 Ste 201,ATHENS,GA,30606,US",202,Sleepy Hollow Pkwy,202 Sleepy Hollow Pkwy Bldg 2101 Ste 201,ATHENS,30606.0,GA,US,
"Berger Bldg 6 Hamlin Ln Dept RB08,MIDDLE ISLAND,NY,11953,US","Berger Bldg 6 Hamlin Ln Dept RB08,MIDDLE ISLAND,NY,11953,US",6,Hamlin Ln,Berger Bldg 6 Hamlin Ln Dept RB08,MIDDLE ISLAND,11953.0,NY,US,
"5524 Elmore Ave Bldg 266,PHILADELPHIA,PA,19146,US","5524 Elmore Ave Bldg 266,PHILADELPHIA,PA,19146,US",5524,Elmore Ave,5524 Elmore Ave Bldg 266,PHILADELPHIA,19146.0,PA,US,
"1172 Hudson Way Pl Bldg 3 Ste 530,LAKE OSWEGO,OR,97035,US","1172 Hudson Way Pl Bldg 3 Ste 530,LAKE OSWEGO,OR,97035,US",1172,Hudson Way Pl,1172 Hudson Way Pl Bldg 3 Ste 530,LAKE OSWEGO,97035.0,OR,US,
